"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Update course","LMS service","Thu Aug 14 08:54:46 GMT 2025","passed","Thu Aug 14 08:54:46 GMT 2025","Update entity","Courses","",""
"","259","Create file with empty directory","LMS service","Thu Aug 14 08:54:52 GMT 2025","passed","Thu Aug 14 08:54:52 GMT 2025","Validate entity","Files","",""
"","24","Create exercise","LMS service","Thu Aug 14 08:54:47 GMT 2025","passed","Thu Aug 14 08:54:47 GMT 2025","Create entity","Exercises","",""
"","256","Get file with incorrect file id","LMS service","Thu Aug 14 08:54:52 GMT 2025","passed","Thu Aug 14 08:54:53 GMT 2025","Validate entity","Files","",""
"","31","Create course","LMS service","Thu Aug 14 08:54:46 GMT 2025","passed","Thu Aug 14 08:54:46 GMT 2025","Create entity","Courses","",""
"","17","Get file","LMS service","Thu Aug 14 08:54:51 GMT 2025","passed","Thu Aug 14 08:54:51 GMT 2025","Get entity","Files","",""
"","539","Create user","LMS service","Thu Aug 14 08:54:52 GMT 2025","passed","Thu Aug 14 08:54:53 GMT 2025","Create entity","Users","",""
"","28","Create file","LMS service","Thu Aug 14 08:54:49 GMT 2025","passed","Thu Aug 14 08:54:50 GMT 2025","Create entity","Files","",""
"","263","Create file with empty filename","LMS service","Thu Aug 14 08:54:50 GMT 2025","passed","Thu Aug 14 08:54:51 GMT 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Thu Aug 14 08:54:53 GMT 2025","passed","Thu Aug 14 08:54:53 GMT 2025","Create entity","Users","",""
"","550","Login with correct email and password","LMS service","Thu Aug 14 08:54:44 GMT 2025","passed","Thu Aug 14 08:54:45 GMT 2025","Login","Authentication","",""
"","556","Create user","LMS service","Thu Aug 14 08:54:53 GMT 2025","passed","Thu Aug 14 08:54:53 GMT 2025","Create entity","Users","",""
"","294","Delete file","LMS service","Thu Aug 14 08:54:52 GMT 2025","passed","Thu Aug 14 08:54:52 GMT 2025","Delete entity","Files","",""
"","24","Get exercise","LMS service","Thu Aug 14 08:54:48 GMT 2025","passed","Thu Aug 14 08:54:48 GMT 2025","Get entity","Exercises","",""
"","29","Get courses","LMS service","Thu Aug 14 08:54:45 GMT 2025","passed","Thu Aug 14 08:54:45 GMT 2025","Get entities","Courses","",""
"","23","Get exercises","LMS service","Thu Aug 14 08:54:49 GMT 2025","passed","Thu Aug 14 08:54:50 GMT 2025","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Thu Aug 14 08:54:48 GMT 2025","passed","Thu Aug 14 08:54:48 GMT 2025","Delete entity","Exercises","",""
"","26","Update exercise","LMS service","Thu Aug 14 08:54:47 GMT 2025","passed","Thu Aug 14 08:54:47 GMT 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Thu Aug 14 08:54:54 GMT 2025","passed","Thu Aug 14 08:54:54 GMT 2025","Get entity","Users","",""
